GENE	Class
gb|U00096.3|+|966620-968369|ARO:3003950|msbA	nitroimidazole
gb|U00096.1|+|2155262-2158385|ARO:3000793|mdtB	aminocoumarin
gb|AP009048.1|-|4304505-4306557|ARO:3003549|mdtO	nucleoside, disinfecting agents and antiseptics
gb|AE004091.2|-|4116187-4119265|ARO:3003693|MexK	disinfecting agents and antiseptics, tetracycline, macrolide 
gb|AF024666.2|+|35934-37110|ARO:3002703|cmx	phenicol
gb|U36911.1|+|1429-2290|ARO:3000979|TEM-116	penam, cephalosporin, penem, monobactam
gb|AF156486.1|+|5012-5792|ARO:3002602|aadA2	aminoglycoside
gb|U00096.1|+|2158385-2161463|ARO:3000794|mdtC	aminocoumarin
gb|AP009048.1|+|2586250-2589364|ARO:3000491|acrD	aminoglycoside
gb|HQ877606.1|+|0-861|ARO:3001056|TEM-197	penam, cephalosporin, penem, monobactam
gb|CP015085.1|-|2551711-2552440|ARO:3003838|gadW	multidrug
gb|U00096.3|-|4567286-4568519|ARO:3001214|mdtM	nucleoside, disinfecting agents and antiseptics, fluoroquinolone, phenicol, lincosamide 
gb|AF099140.1|+|136-1363|ARO:3002826|EreA2	macrolide
gb|MK134376.1|-|324-1482|ARO:3004720|tet(X4)	tetracycline
gb|AY027589.1|+|45-828|ARO:3004239|NPS-1	penam, cephalosporin
gb|EF468463.1|+|66-927|ARO:3001028|TEM-162	penam, cephalosporin, penem, monobactam
gb|AY183453.1|+|2729-3950|ARO:3000361|EreA	macrolide
gb|M64556.1|+|600-1860|ARO:3002693|cmlA1	phenicol
gb|JF268688.1|-|5407-6232|ARO:3001809|OXA-209	penam
gb|X02340.1|+|222-1194|ARO:3004089|ANT(3'')-IIa	aminoglycoside
gb|AP009048.1|-|4303042-4304509|ARO:3003550|mdtP	multidrug
gb|L07945.1|+|60-888|ARO:3001398|OXA-3	penam, cephalosporin
gb|AF137361.1|+|63-852|ARO:3002605|aadA5	aminoglycoside
gb|U13880.2|+|308-767|ARO:3004635|AAC(6')-Il	aminoglycoside
gb|AJ487033.2|+|1685-2858|ARO:3002691|Sent_cmlA	phenicol
gb|Y10693.2|+|0-828|ARO:3001416|OXA-21	penam, cephalosporin
gb|AP009048.1|+|2810082-2811255|ARO:3000027|emrA	fluoroquinolone
gb|X15791.1|+|1375-2257|ARO:3003563|RCP-1	penam
gb|AF156486.1|+|3648-4908|ARO:3002694|cmlA4	phenicol
gb|AP009048.1|+|2165012-2166416|ARO:3000829|baeS	aminoglycoside, aminocoumarin 
gb|AP009048.1|-|4306556-4307588|ARO:3003548|mdtN	nucleoside, disinfecting agents and antiseptics
gb|AE004091.2|-|2850882-2854014|ARO:3004074|MuxB	multidrug
gb|JQ394987.1|+|0-1233|ARO:3001328|Ecol_mdfA	disinfecting agents and antiseptics, tetracycline 
gb|NG_056416.1|+|0-861|ARO:3005260|TEM-229	penam, cephalosporin, penem, monobactam
gb|CP001840.1|-|1610636-1613960|ARO:3003730|Bbif_ileS_MUP	mupirocin-like
gb|U00096.3|-|2306971-2308615|ARO:3003952|YojI	peptide
gb|AP009048.1|+|3974604-3975429|ARO:3000508|gadX	multidrug
gb|AP009048.1|-|4338624-4340268|ARO:3003576|eptA	peptide
gb|CP000864.1|+|13383-14226|ARO:3001611|OXA-58	penam, carbapenem
gb|U97042.1|+|1263-4347|ARO:3003010|ceoB	multidrug
gb|FJ919776.1|+|208-1069|ARO:3001034|TEM-168	penam, cephalosporin, penem, monobactam
gb|U00096.3|-|3203309-3204131|ARO:3002986|bacA	peptide
gb|AM183304.1|+|208-1069|ARO:3001017|TEM-150	penam, cephalosporin, penem, monobactam
gb|Y18050.2|+|4757-5552|ARO:3004675|aphA15	aminoglycoside
gb|AFRQ01000061.1|-|23986-27124|ARO:3004144|AxyY	multidrug
gb|NG_049131.1|+|1-864|ARO:3006157|GES-28	penam, cephalosporin, carbapenem
gb|MK134375.1|+|6173-7340|ARO:3004719|tet(X3)	tetracycline
gb|MN507533.1|+|36121-37258|ARO:3005056|tet(X6)	tetracycline
gb|DQ390458.1|-|3095-3995|ARO:3002609|aadA9	aminoglycoside
gb|X58272.1|+|79-883|ARO:3001400|OXA-5	penam
gb|U00096.1|-|2098446-2099613|ARO:3003577|ugd	peptide
gb|AY139598.1|+|1486-2287|ARO:3001775|OXA-119	penam
gb|AB901141.1|+|0-864|ARO:3002353|GES-24	penam, cephalosporin, carbapenem
gb|AJ514254.1|+|0-1923|ARO:3000197|tet(36)	tetracycline
gb|AF121000.1|-|11879-13034|ARO:3000183|tet(Z)	tetracycline
gb|D37826.1|+|1070-2195|ARO:3002812|pp-flo	phenicol
gb|U00096.3|-|484425-485619|ARO:3004043|Ecol_acrA	multidrug
gb|FJ768952.1|+|0-1488|ARO:3000237|TolC	multidrug
gb|U00096.1|+|2154015-2155263|ARO:3000792|mdtA	aminocoumarin
gb|AB089595.1|+|0-1206|ARO:3000166|tet(B)	tetracycline
gb|AF162771.1|+|61-643|ARO:3002596|AAC(6')-IIc	aminoglycoside
gb|AM932669.1|+|698-1502|ARO:3001811|OXA-129	penam
gb|KM114268.1|+|0-861|ARO:3003157|TEM-219	penam, cephalosporin, penem, monobactam
gb|U57969.1|+|1485-4617|ARO:3000801|MexD	multidrug
gb|DQ677333.1|+|0-780|ARO:3002621|aadA24	aminoglycoside
gb|U00096.1|+|2812615-2814154|ARO:3000074|emrB	fluoroquinolone
gb|KF998105.1|+|4171-4849|ARO:3002579|AAC(6')-Ib8	aminoglycoside
gb|M18896.2|+|206-2126|ARO:3000190|tet(O)	tetracycline
gb|KF478993.1|-|6002-6704|ARO:3002930|vanR_in_vanO_cl	glycopeptide
gb|FR845719.1|-|6559170-6561339|ARO:3007208|HelR	rifamycin
gb|HQ529916.1|+|110-971|ARO:3001045|TEM-183	penam, cephalosporin, penem, monobactam
gb|BA000007.3|-|4903688-4905062|ARO:3000830|cpxA	aminoglycoside, aminocoumarin 
gb|Y14574.2|+|0-861|ARO:3000888|TEM-17	penam, cephalosporin, penem, monobactam
gb|HQ874631.1|+|0-864|ARO:3002346|GES-17	penam, cephalosporin, carbapenem
gb|U00096.1|-|1124117-1125326|ARO:3001216|mdtH	fluoroquinolone
gb|S46063.1|+|121-1036|ARO:3002242|CARB-3	penam
gb|AF550679.1|-|80976-81768|ARO:3002601|aadA	aminoglycoside
gb|AF227521.1|+|3269-4487|ARO:3000616|mel	macrolide 
gb|AY660529.1|+|121-676|ARO:3003676|AAC(6')-Ib'	aminoglycoside
gb|AY494717.1|+|0-864|ARO:3002334|GES-5	penam, cephalosporin, carbapenem
gb|FR717535.1|+|0-861|ARO:3000910|TEM-40	penam, cephalosporin, penem, monobactam
gb|DQ909059.1|+|0-861|ARO:3001023|TEM-157	penam, cephalosporin, penem, monobactam
gb|AF047479.2|+|1295-2087|ARO:3002603|aadA3	aminoglycoside
gb|AJ000283.1|+|619-1849|ARO:3000343|tap	tetracycline
gb|AF173226.1|+|3767-6917|ARO:3003052|smeB	multidrug
gb|EU746499.1|+|639-1437|ARO:3002613|aadA13	aminoglycoside
gb|V00618.1|+|150-945|ARO:3002644|APH(3')-IIa	aminoglycoside
gb|NC_002516.2|+|4904646-4907703|ARO:3003031|MexW	multidrug
gb|APPN01000080.1|-|348498-349338|ARO:3001763|OXA-308	penam
gb|NG_056418.1|+|0-861|ARO:3005262|TEM-231	penam, cephalosporin, penem, monobactam
gb|HQ730118.1|+|5174-5507|ARO:3005009|qacE	disinfecting agents and antiseptics
gb|NG_049134.1|+|1-864|ARO:3006159|GES-30	penam, cephalosporin, carbapenem
gb|NG_056177.1|+|1-864|ARO:3006163|GES-34	penam, cephalosporin, carbapenem
gb|NG_055477.1|+|1-741|ARO:3005466|IMP-59	penem, cephamycin, penam, cephalosporin, carbapenem
gb|AJ295238.3|+|163-2083|ARO:3007119|tet(O/32/O)	tetracycline
gb|JQ772478.1|+|140-1004|ARO:3002350|GES-21	penam, cephalosporin, carbapenem
gb|EF660562.1|+|1671-2124|ARO:3002849|arr-4	rifamycin
gb|FN554543.1|+|0-864|ARO:3002341|GES-12	penam, cephalosporin, carbapenem
gb|AY115475.1|+|3337-4597|ARO:3002695|cmlA5	phenicol
gb|FJ460181.2|+|1790-2582|ARO:3002617|aadA17	aminoglycoside
gb|CP000800.1|-|1191727-1192954|ARO:3001329|mdtG	phosphonic acid
gb|DQ519090.1|+|62-905|ARO:3001631|OXA-96	penam, carbapenem
gb|GQ149347.1|+|5269-6130|ARO:3001037|TEM-171	penam, cephalosporin, penem, monobactam
gb|M36726.1|+|295-1150|ARO:3000596|ErmX	multidrug
gb|AF190692.1|+|208-1069|ARO:3000946|TEM-79	penam, cephalosporin, penem, monobactam
gb|KM087865.1|+|0-843|ARO:3001583|OXA-397	penam, carbapenem
gb|FN594949.1|+|25244-27167|ARO:3000556|tet(44)	tetracycline
gb|Z21523.1|+|0-1974|ARO:3000191|tet(Q)	tetracycline
gb|AF078527.1|+|3769-4303|ARO:3000230|ANT(2'')-Ia	aminoglycoside
gb|AM261837.1|+|73-865|ARO:3002619|aadA22	aminoglycoside
gb|EF102240.1|-|11722-12565|ARO:3001647|OXA-97	penam, carbapenem
gb|KP096411.1|+|0-864|ARO:3003181|GES-26	penam, cephalosporin, carbapenem
gb|AF371964.1|+|118-919|ARO:3001768|OXA-118	penam
gb|AF534183.1|+|2970-4245|ARO:3000165|tet(A)	tetracycline
gb|AJ420072.1|+|22939-24163|ARO:3000478|tet(33)	tetracycline
gb|U00096.1|+|2367070-2368039|ARO:3003578|PmrF	peptide
gb|L06249.1|+|1527-2505|ARO:3003748|oleC	macrolide
gb|NZ_CP040912.1|+|84797-85964|ARO:3005057|tet(X5)	tetracycline
gb|NG_071226.1|+|0-861|ARO:3005273|TEM-243	penam, cephalosporin, penem, monobactam
gb|NG_049128.1|+|1-864|ARO:3003185|GES-25	penam, cephalosporin, carbapenem
gb|NG_049132.1|+|1-864|ARO:3006158|GES-29	penam, cephalosporin, carbapenem
gb|FJ381668.1|+|56-848|ARO:3002612|aadA12	aminoglycoside
gb|AJ222769.3|+|3686-5606|ARO:3000194|tet(W)	tetracycline
gb|Y13612.1|+|0-861|ARO:3000921|TEM-52	penam, cephalosporin, penem, monobactam
gb|D78168.1|+|536-1592|ARO:3000206|emrK	fluoroquinolone
gb|U63835.1|+|127-955|ARO:3001410|OXA-15	penam, cephalosporin
gb|AY232670.1|-|3524-4157|ARO:3002675|catB2	phenicol
gb|X01702.1|+|484-1285|ARO:3002659|APH(6)-Ic	aminoglycoside
gb|AF156486.1|+|1331-2195|ARO:3002330|GES-1	penam, cephalosporin, carbapenem
gb|KC149518.1|+|0-861|ARO:3001369|TEM-153	penam, cephalosporin, penem, monobactam
gb|JN596280.1|+|2847-3711|ARO:3002349|GES-20	penam, cephalosporin, carbapenem
gb|AF043381.1|+|251-863|ARO:3002580|AAC(6')-Ib9	aminoglycoside
gb|FJ503047.1|+|0-519|ARO:3002592|AAC6_IB_HZ	aminoglycoside
gb|AF445082.1|+|2788-3343|ARO:3002577|AAC(6')-Ib4	aminoglycoside
gb|BA000007.3|+|3212025-3212640|ARO:3000832|evgA	multidrug
gb|AF351241.1|+|89-950|ARO:3000957|TEM-90	penam, cephalosporin, penem, monobactam
gb|AM941159.1|+|208-1069|ARO:3001022|TEM-156	penam, cephalosporin, penem, monobactam
gb|AP009048.1|+|2166412-2167135|ARO:3000828|baeR	aminoglycoside, aminocoumarin 
gb|KF525301.1|+|105-603|ARO:3003018|dfrA22	diaminopyrimidine
gb|AY289608.1|+|1523-2078|ARO:3002588|AAC(6')-I30	aminoglycoside
gb|U59183.1|+|247-859|ARO:3002581|AAC(6')-Ib10	aminoglycoside
gb|LC037981.1|+|0-801|ARO:3003610|OXA-454	penam, cephalosporin
gb|AF326355.1|+|0-864|ARO:3002331|GES-2	penam, cephalosporin, carbapenem
gb|AB039845.1|+|25-1945|ARO:3000186|tet(M)	tetracycline
gb|AY494718.1|+|0-864|ARO:3002335|GES-6	penam, cephalosporin, carbapenem
gb|L11616.1|+|1569-4710|ARO:3000378|MexB	multidrug
gb|JQ034306.1|+|0-861|ARO:3001376|TEM-196	penam, cephalosporin, penem, monobactam
gb|U00096.3|-|4377810-4378944|ARO:3004290|Ecol_ampC_BLA	cephalosporin, penam
gb|KR857683.1|+|0-1164|ARO:3004582|tet(49)	tetracycline
gb|AB255435.1|+|117276-117657|ARO:3005036|BLMT	glycopeptide
gb|NG_059898.1|+|100-961|ARO:3005266|TEM-235	penam, cephalosporin, penem, monobactam
gb|NG_065939.1|+|0-861|ARO:3005272|TEM-242	penam, cephalosporin, penem, monobactam
gb|NG_060521.1|+|1-864|ARO:3006165|GES-36	penam, cephalosporin, carbapenem
gb|NG_062216.1|+|1-864|ARO:3006168|GES-39	penam, cephalosporin, carbapenem
gb|NG_062356.1|+|1-864|ARO:3006169|GES-40	penam, cephalosporin, carbapenem
gb|NG_050307.1|+|1-861|ARO:3006139|TEM-98	penam, cephalosporin, penem, monobactam
gb|MN928789.1|+|0-792|ARO:3007033|Erm(51)	multidrug
gb|AY394560.1|+|0-1920|ARO:3007120|tet(O/M/O)	tetracycline
gb|LR730402.1|+|740042-740987|ARO:3003843|leuO	nucleoside, disinfecting agents and antiseptics
gb|EU165039.1|+|609-1404|ARO:3005154|APH(3')-XVa	aminoglycoside
gb|AF315786.1|+|1313-2114|ARO:3001429|OXA-35	penam, cephalosporin
gb|AF355189.1|+|1434-2439|ARO:3002600|AAC_3Ib_AAC_6Ib	aminoglycoside
gb|AF408195.1|+|7908-9393|ARO:3003206|lsaE	multidrug
gb|GQ342996.1|+|797-1793|ARO:3003097|CfxA6	cephamycin
gb|AJ252200.1|+|81-1266|ARO:3003055|smeD	multidrug
gb|BX664015.1|-|103017-103833|ARO:3002641|APH(3')-Ia	aminoglycoside
gb|GU045307.1|+|100-841|ARO:3002217|IMP-26	penem, cephamycin, penam, cephalosporin, carbapenem
gb|AY589493.1|+|166-1027|ARO:3000975|TEM-112	penam, cephalosporin, penem, monobactam
gb|AY928180.1|+|0-495|ARO:3002837|lnuC	lincosamide
gb|BX571965.1|-|2147817-2150949|ARO:3002983|amrB	multidrug
gb|L25634.1|+|1273-2158|ARO:3003562|blaF	penam
gb|GU831575.1|+|0-843|ARO:3001662|OXA-164	penam, carbapenem
gb|D78168.1|+|1591-3130|ARO:3000254|emrY	tetracycline
gb|AY528425.1|+|0-861|ARO:3000997|TEM-133	penam, cephalosporin, penem, monobactam
gb|FJ848783.1|+|1270-2071|ARO:3001801|OXA-147	penam, cephalosporin
gb|EF136376.1|+|0-861|ARO:3001025|TEM-159	penam, cephalosporin, penem, monobactam
gb|X57972.1|+|339-1200|ARO:3000878|TEM-6	penam, cephalosporin, penem, monobactam
gb|DQ286729.1|+|0-861|ARO:3000924|TEM-55	penam, cephalosporin, penem, monobactam
gb|NG_050256.1|+|100-961|ARO:3000896|TEM-26	penam, cephalosporin, penem, monobactam
gb|AJ239002.1|+|0-861|ARO:3000935|TEM-68	penam, cephalosporin, penem, monobactam
gb|X56809.1|+|111-894|ARO:3002997|LCR-1	penam, cephalosporin
gb|AY092401.1|+|0-861|ARO:3000963|TEM-96	penam, cephalosporin, penem, monobactam
gb|KF240808.1|+|0-861|ARO:3001386|TEM-209	penam, cephalosporin, penem, monobactam
gb|Y17584.1|+|0-858|ARO:3000899|TEM-29	penam, cephalosporin, penem, monobactam
gb|AM296481.1|+|775-2041|ARO:3002699|cmlB1	phenicol
gb|M95287.4|+|2455-3283|ARO:3001397|OXA-2	penam, cephalosporin, carbapenem
gb|U14748.1|+|324-1239|ARO:3002481|AER-1	penam
gb|DQ393783.1|+|1799-2591|ARO:3002615|aadA15	aminoglycoside
gb|AF104442.1|+|193-1054|ARO:3000923|TEM-54	penam, cephalosporin, penem, monobactam
gb|HM173356.1|+|511-1375|ARO:3002345|GES-16	penam, cephalosporin, carbapenem
gb|AY956335.1|+|38-899|ARO:3001004|TEM-141	penam, cephalosporin, penem, monobactam
gb|U00096.3|+|2810769-2811300|ARO:3000516|emrR	fluoroquinolone
gb|AJ318093.1|+|0-861|ARO:3000960|TEM-93	penam, cephalosporin, penem, monobactam
gb|AF313471.1|+|1421-2288|ARO:3002240|CARB-1	penam
gb|GU208678.1|+|0-864|ARO:3002344|GES-15	penam, cephalosporin, carbapenem
gb|AF294653.1|+|2749-4009|ARO:3002696|cmlA6	phenicol
gb|JN596280.1|+|1918-2782|ARO:3002348|GES-19	penam, cephalosporin, carbapenem
gb|AY130282.1|+|0-762|ARO:3000980|TEM-117	penam, cephalosporin, penem, monobactam
gb|AY123251.1|+|2950-3505|ARO:3002594|AAC(6')-IIa	aminoglycoside
gb|AF535127.1|+|208-1069|ARO:3000978|TEM-115	penam, cephalosporin, penem, monobactam
gb|AY136758.1|+|377-947|ARO:3002582|AAC(6')-Ib11	aminoglycoside
gb|AF427128.1|+|208-1069|ARO:3000949|TEM-82	penam, cephalosporin, penem, monobactam
gb|AP009048.1|-|3980025-3981183|ARO:3000795|mdtE	multidrug
gb|AP009048.1|+|1621287-1621671|ARO:3000263|marA	multidrug
gb|EF452177.1|+|0-495|ARO:3002838|lnuD	lincosamide
gb|FJ807656.1|+|0-861|ARO:3001020|TEM-154	penam, cephalosporin, penem, monobactam
gb|FJ405211.1|+|0-861|ARO:3000926|TEM-57	penam, cephalosporin, penem, monobactam
gb|AY139603.1|+|106-898|ARO:3002608|aadA8	aminoglycoside
gb|DQ336355.1|+|602-1367|ARO:3002640|APH(3'')-Ic	aminoglycoside
gb|JN836269.1|+|0-657|ARO:3004622|QnrS10	fluoroquinolone
gb|EU370913.1|+|47850-51003|ARO:3003923|oqxB	multidrug
gb|MK303617.1|+|0-657|ARO:3004627|QnrS15	fluoroquinolone
gb|AF251288.1|-|794-2000|ARO:3004659|Mef(En2)	macrolide
gb|LN873256.1|-|3238-4027|ARO:3004682|aadA27	aminoglycoside
gb|DQ679966.1|+|299-1493|ARO:3004042|Eclo_acrA	multidrug
gb|APOM01000001.1|-|40253-41033|ARO:3004091|ANT(3'')-IIc	aminoglycoside
gb|M35190.1|+|308-932|ARO:3004454|Ccol_ACT_CHL	phenicol
gb|NG_057472.1|+|0-861|ARO:3005263|TEM-232	penam, cephalosporin, penem, monobactam
gb|FJ905898.1|+|328-802|ARO:3004547|dfrA6	diaminopyrimidine
gb|GU067642.1|+|534-1008|ARO:3004555|dfrA32	diaminopyrimidine
gb|ASTU01000063.1|+|61248-62787|ARO:3004597|Kpne_KpnH	multidrug
gb|EU161636.1|+|1021-1576|ARO:3005115|AAC(6')-Ib-cr5	aminoglycoside
gb|JABGAB010000032.1|-|11074-11629|ARO:3005117|AAC(6')-Ib-cr7	aminoglycoside
gb|NG_061611.1|+|0-861|ARO:3005267|TEM-236	penam, cephalosporin, penem, monobactam
gb|NG_062250.1|+|100-961|ARO:3005268|TEM-237	penam, cephalosporin, penem, monobactam
gb|NG_066505.1|+|49-915|ARO:3005585|CARB-51	penam
gb|NG_049084.1|+|101-1234|ARO:3006879|EC-19	cephalosporin
gb|NG_049130.1|+|1-864|ARO:3006156|GES-27	penam, cephalosporin, carbapenem
gb|NG_060520.1|+|1-864|ARO:3006164|GES-35	penam, cephalosporin, carbapenem
gb|NG_060522.1|+|1-864|ARO:3006166|GES-37	penam, cephalosporin, carbapenem
gb|NG_065870.1|+|1-873|ARO:3006171|GES-42	penam, cephalosporin, carbapenem
gb|NG_064753.1|+|1-795|ARO:3005995|OXA-795	penam, cephalosporin
gb|NG_064781.1|+|1-801|ARO:3006022|OXA-824	penam, cephalosporin
gb|AE004091.2|+|4707534-4710624|ARO:3000808|MexI	multidrug
gb|AJ519683.1|+|281-1076|ARO:3001794|OXA-45	penam
gb|FJ617207.1|+|0-828|ARO:3001800|OXA-226	penam, cephalosporin
gb|JQ808129.1|+|633-1188|ARO:3002546|AAC(6')-Ib	aminoglycoside
gb|AJ809407.1|+|118-898|ARO:3002620|aadA23	aminoglycoside
gb|Y10279.1|+|0-861|ARO:3000916|TEM-47	penam, cephalosporin, penem, monobactam
gb|X65254.1|+|175-1036|ARO:3000887|TEM-16	penam, cephalosporin, penem, monobactam
gb|AY040093.1|+|68-929|ARO:3000965|TEM-102	penam, cephalosporin, penem, monobactam
gb|AY628175.1|+|210-1071|ARO:3000972|TEM-109	penam, cephalosporin, penem, monobactam
gb|U95363.2|+|0-861|ARO:3000912|TEM-43	penam, cephalosporin, penem, monobactam
gb|AB700703.1|+|161-1022|ARO:3001057|TEM-198	penam, cephalosporin, penem, monobactam
gb|AF190693.1|+|208-1069|ARO:3000944|TEM-78	penam, cephalosporin, penem, monobactam
gb|EF534736.1|+|213-1074|ARO:3001024|TEM-158	penam, cephalosporin, penem, monobactam
gb|AB049569.1|+|0-861|ARO:3000958|TEM-91	penam, cephalosporin, penem, monobactam
gb|KC818234.1|+|0-861|ARO:3001384|TEM-207	penam, cephalosporin, penem, monobactam
gb|L22689.1|+|261-1035|ARO:3000593|ErmQ	multidrug
gb|GU550123.1|+|144-1005|ARO:3001041|TEM-176	penam, cephalosporin, penem, monobactam
gb|AM087454.1|+|208-1069|ARO:3001015|TEM-148	penam, cephalosporin, penem, monobactam
gb|FJ197316.1|+|0-861|ARO:3001032|TEM-166	penam, cephalosporin, penem, monobactam
gb|AY307100.1|+|0-861|ARO:3000984|TEM-122	penam, cephalosporin, penem, monobactam
gb|KP050491.1|+|0-861|ARO:3001391|TEM-214	penam, cephalosporin, penem, monobactam
gb|AF203816.1|+|210-1071|ARO:3000937|TEM-71	penam, cephalosporin, penem, monobactam
gb|LLLC01000048.1|-|352-1171|ARO:3002537|AAC(3)-IIIb	aminoglycoside
gb|U15027.1|+|0-624|ARO:3002686|catP	phenicol
gb|AY920928.1|+|2689-3553|ARO:3002338|GES-9	penam, cephalosporin, carbapenem
gb|AY260546.3|+|4477-5341|ARO:3002336|GES-7	penam, cephalosporin, carbapenem
gb|JN211012.1|+|213-1074|ARO:3001048|TEM-188	penam, cephalosporin, penem, monobactam
gb|AJ308558.1|+|181-1042|ARO:3000962|TEM-95	penam, cephalosporin, penem, monobactam
gb|AF315351.1|+|672-1500|ARO:3001426|OXA-32	penam, cephalosporin, carbapenem
gb|AY072920.1|+|0-861|ARO:3000973|TEM-110	penam, cephalosporin, penem, monobactam
gb|AY171244.1|+|46-838|ARO:3002618|aadA21	aminoglycoside
gb|JX310327.1|+|0-861|ARO:3001378|TEM-201	penam, cephalosporin, penem, monobactam
gb|CP003022.1|+|336788-337580|ARO:3003197|aadA25	aminoglycoside
gb|AB116260.1|+|1329-2193|ARO:3002333|GES-4	penam, cephalosporin, carbapenem
gb|U00096.1|-|3412802-3413465|ARO:3000656|AcrS	multidrug
gb|KC900516.1|+|0-858|ARO:3001382|TEM-205	penam, cephalosporin, penem, monobactam
gb|KF663615.1|+|0-858|ARO:3001390|TEM-213	penam, cephalosporin, penem, monobactam
gb|FJ854362.1|+|701-1565|ARO:3002340|GES-11	penam, cephalosporin, carbapenem
gb|JF949915.1|+|0-754|ARO:3001052|TEM-192	penam, cephalosporin, penem, monobactam
gb|EU675686.1|+|1956-2409|ARO:3002848|arr-3	rifamycin
gb|HG934763.1|+|0-861|ARO:3001394|TEM-217	penam, cephalosporin, penem, monobactam
gb|AJ238249.1|+|126-930|ARO:3002836|lnuB	lincosamide
gb|AP009048.1|-|4153663-4154296|ARO:3000518|CRP	macrolide, penam, fluoroquinolone 
gb|AJ310778.1|+|7003-7573|ARO:3003015|dfrA19	diaminopyrimidine
gb|AF332513.1|+|103-964|ARO:3000931|TEM-63	penam, cephalosporin, penem, monobactam
